{'episode': 1, 'reward': 29.0, 'score': 418}
{'episode': 2, 'reward': -211.75, 'score': 358}
{'episode': 3, 'reward': -45.25, 'score': 226}
{'episode': 4, 'reward': -193.5, 'score': 119}
{'episode': 5, 'reward': -96.0, 'score': 226}
{'episode': 6, 'reward': -25.0, 'score': 85}
{'episode': 7, 'reward': -89.5, 'score': 158}
{'episode': 8, 'reward': 208.5, 'score': 459}
{'episode': 9, 'reward': 245.0, 'score': 540}
{'episode': 10, 'reward': -84.5, 'score': 188}
{'episode': 11, 'reward': -217.5, 'score': 259}
{'episode': 12, 'reward': -11.75, 'score': 87}
{'episode': 13, 'reward': -221.0, 'score': 42}
{'episode': 14, 'reward': 8.0, 'score': 305}
{'episode': 15, 'reward': -195.0, 'score': 144}
{'episode': 16, 'reward': -44.75, 'score': 131}
{'episode': 17, 'reward': -144.25, 'score': 255}
{'episode': 18, 'reward': -215.75, 'score': 112}
{'episode': 19, 'reward': -21.25, 'score': 60}
{'episode': 20, 'reward': 22.75, 'score': 340}
{'episode': 21, 'reward': -12.5, 'score': 189}
{'episode': 22, 'reward': 42.25, 'score': 534}
{'episode': 23, 'reward': -141.5, 'score': 178}
{'episode': 24, 'reward': 279.0, 'score': 690}
{'episode': 25, 'reward': -39.25, 'score': 120}
{'episode': 26, 'reward': 34.75, 'score': 228}
{'episode': 27, 'reward': -35.5, 'score': 275}
{'episode': 28, 'reward': 263.5, 'score': 512}
{'episode': 29, 'reward': -143.5, 'score': 23}
{'episode': 30, 'reward': -119.25, 'score': 177}
{'episode': 31, 'reward': -72.5, 'score': 170}
{'episode': 32, 'reward': -145.0, 'score': 121}
{'episode': 33, 'reward': -58.75, 'score': 112}
{'episode': 34, 'reward': 158.75, 'score': 653}
{'episode': 35, 'reward': -165.75, 'score': 277}
{'episode': 36, 'reward': 19.5, 'score': 277}
{'episode': 37, 'reward': -42.25, 'score': 111}
{'episode': 38, 'reward': 23.25, 'score': 257}
{'episode': 39, 'reward': 46.0, 'score': 414}
{'episode': 40, 'reward': -66.0, 'score': 84}
{'episode': 41, 'reward': 14.5, 'score': 408}
{'episode': 42, 'reward': -106.5, 'score': 138}
{'episode': 43, 'reward': -91.75, 'score': 81}
{'episode': 44, 'reward': 100.5, 'score': 499}
{'episode': 45, 'reward': -174.75, 'score': 234}
{'episode': 46, 'reward': 32.0, 'score': 385}
{'episode': 47, 'reward': -129.5, 'score': 96}
{'episode': 48, 'reward': -121.75, 'score': 274}
{'episode': 49, 'reward': -73.25, 'score': 319}
{'episode': 50, 'reward': -95.75, 'score': 259}
{'episode': 51, 'reward': 45.75, 'score': 226}
{'episode': 52, 'reward': -38.0, 'score': 62}
{'episode': 53, 'reward': -38.75, 'score': 30}
{'episode': 54, 'reward': -66.0, 'score': 433}
{'episode': 55, 'reward': -162.0, 'score': 96}
{'episode': 56, 'reward': 150.0, 'score': 708}
