{'episode': 1, 'reward': 26.0, 'score': 396}
{'episode': 2, 'reward': -157.5, 'score': 68}
{'episode': 3, 'reward': -194.75, 'score': 257}
{'episode': 4, 'reward': 226.25, 'score': 675}
{'episode': 5, 'reward': -102.0, 'score': 220}
{'episode': 6, 'reward': -98.0, 'score': 256}
{'episode': 7, 'reward': -128.25, 'score': 353}
{'episode': 8, 'reward': -152.5, 'score': 226}
{'episode': 9, 'reward': 18.0, 'score': 399}
{'episode': 10, 'reward': -143.0, 'score': 121}
{'episode': 11, 'reward': -18.0, 'score': 62}
{'episode': 12, 'reward': -121.75, 'score': 126}
{'episode': 13, 'reward': -226.25, 'score': 133}
{'episode': 14, 'reward': -166.5, 'score': 121}
{'episode': 15, 'reward': -45.0, 'score': 401}
{'episode': 16, 'reward': -27.0, 'score': 349}
{'episode': 17, 'reward': -60.0, 'score': 70}
{'episode': 18, 'reward': -202.5, 'score': 265}
{'episode': 19, 'reward': 83.0, 'score': 358}
{'episode': 20, 'reward': -151.75, 'score': 329}
{'episode': 21, 'reward': -38.5, 'score': 280}
{'episode': 22, 'reward': -35.5, 'score': 122}
{'episode': 23, 'reward': -82.25, 'score': 160}
{'episode': 24, 'reward': -90.5, 'score': 321}
{'episode': 25, 'reward': 168.5, 'score': 674}
{'episode': 26, 'reward': -128.25, 'score': 403}
{'episode': 27, 'reward': -59.25, 'score': 103}
{'episode': 28, 'reward': 108.5, 'score': 450}
{'episode': 29, 'reward': -90.5, 'score': 291}
{'episode': 30, 'reward': -122.75, 'score': 302}
{'episode': 31, 'reward': 368.5, 'score': 703}
{'episode': 32, 'reward': 27.25, 'score': 505}
{'episode': 33, 'reward': -55.25, 'score': 19}
{'episode': 34, 'reward': 213.5, 'score': 553}
{'episode': 35, 'reward': -58.75, 'score': 111}
{'episode': 36, 'reward': -253.75, 'score': 345}
{'episode': 37, 'reward': -80.5, 'score': 166}
{'episode': 38, 'reward': -122.25, 'score': 342}
{'episode': 39, 'reward': 17.25, 'score': 451}
{'episode': 40, 'reward': -19.25, 'score': 505}
{'episode': 41, 'reward': -40.5, 'score': 129}
{'episode': 42, 'reward': -238.75, 'score': 304}
{'episode': 43, 'reward': 98.5, 'score': 459}
{'episode': 44, 'reward': 26.25, 'score': 249}
{'episode': 45, 'reward': 158.5, 'score': 506}
{'episode': 46, 'reward': -65.25, 'score': 139}
{'episode': 47, 'reward': -279.5, 'score': 159}
{'episode': 48, 'reward': -27.75, 'score': 113}
{'episode': 49, 'reward': -70.0, 'score': 19}
{'episode': 50, 'reward': -36.0, 'score': 472}
{'episode': 51, 'reward': 10.5, 'score': 151}
{'episode': 52, 'reward': -11.5, 'score': 294}
{'episode': 53, 'reward': -67.5, 'score': 302}
{'episode': 54, 'reward': -13.75, 'score': 151}
{'episode': 55, 'reward': -36.0, 'score': 264}
{'episode': 56, 'reward': -206.0, 'score': 53}
{'episode': 57, 'reward': -57.5, 'score': 11}
{'episode': 58, 'reward': -30.25, 'score': 163}
{'episode': 59, 'reward': -50.5, 'score': 500}
{'episode': 60, 'reward': 6.5, 'score': 229}
